Job.Latitude,Job.Longitude,Panel.Irradiance
29,21,"[3120 4203 3784 4083 2220 3340 3865 4425 2880 2740 3520 5067 5023 3760
 4402 6307 2681 3262 6048]"
49,27,"[10649  8704  5046  3663  3925  3581  2823  2661  2720  3046  2541  2140
  2824  3124  2144  1762  2903  2202  1800]"
-9,26,"[6185 5705 3960 3920 4025 3264 3221 4180 3706 3084 3981 4601 4747 5684
 4489 3983 2780 2960 2300]"
-12,20,"[6700 4460 5482 3828 3400 3000 4441 3809 2920 4500 3542 4268 4802 6022
 4650 3566 3020 2000 2100]"
10,25,"[4562 4246 3321 3345 2641 3365 3223 3623 2663 2842 2903 4042 3722 3320
 3904 5363 5521 3306 6363]"
4,24,"[7709 3784 4345 4261 3404 3682 3600 3245 3523 3282 3841 3763 3983 4902
 4204 4444 2982 2940 3060]"
-8,20,"[6201 5322 5725 4406 2661 3781 4205 3584 3381 4485 3623 4762 4685 5384
 4083 3282 2680 2180 1540]"
27,26,"[4108 3180 2640 3260 3728 3302 2500 3580 3341 4049 3940 3480 3180 6510
 5760 3280 3925 5385 3221]"
-1,20,"[7282 4501 5722 4126 3681 4220 4284 4165 3423 4601 4327 4125 4504 3703
 3305 2321 2140 2320 2160]"
-24,30,"[10809  6441  3941  3641  3165  2720  2660  2360  2325  2820  4200  4303
  4487  4180  3412  3123  2540  2000  2720]"
-20,25,"[4380 3824 4301 3421 3484 3081 3744 3880 3285 3883 3303 4181 5105 5683
 4607 3908 3220 3520 2900]"
57,26,"[10703  7706  5885  3762  3188  3744  2685  2765  2140  2823  2224  2083
  1581  1921  1882  1283  1160  1300   921]"
57,25,"[10787  7184  5527  4185  3506  3964  2983  2461  2043  2622  2482  1903
  2203  2003  1621  1523  1701  1160   880]"
-29,25,"[5365 4961 4304 4100 3345 3580 4506 3723 5081 4845 5066 3924 3610 2560
 3380 2500 2940 3000 2520]"
27,23,"[2600 3665 4320 2525 3620 2522 3943 3220 3685 2680 3605 4980 4303 4242
 4465 5700 3745 3185 5923]"
-12,26,"[5905 5665 3860 4240 3925 3302 3983 3601 3522 3325 4044 4522 4466 5983
 4525 3847 2980 2540 1980]"
12,29,"[3663 3861 5346 4543 1260 1820 2960 4606 3741 1540 2022 4083 4384 3641
 3582 3828 5902 6187 5243]"
-3,29,"[8144 6129 3865 2901 4564 3684 3082 3620 3783 2905 3801 4342 4184 4682
 3947 3161 3000 2520 2160]"
-2,25,"[8846 5941 5786 4202 4442 4722 4103 3301 4023 3864 4404 3963 3926 3827
 2903 2221 1820 1700 1540]"
57,23,"[9950 7322 5248 4623 3365 3565 3645 2642 2882 2704 2583 2483 1981 1763
 1740 1762 1840  960 1180]"
-5,29,"[9568 7586 4586 4204 5926 4123 4121 3822 4365 3643 4163 3761 3522 3701
 3020 1980 2000 1700 1220]"
-23,28,"[5668 4942 3000 4000 3960 3890 3180 4180 3560 2990 4800 3560 4849 5101
 4365 3850 2760 2740 3480]"
